Macroporosity,Vugs,Count,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
0.02,35,35,aleatory,grid-10,r1,0.0197752,1.91771,0.693349,0.01,0.118698,1.04175,1.90005,0.0191771,0.038001,0.042552,79.6558,80.0045,79.374,0.630436,0.0565005,17.6184,310.408,0.000226193,5.11633e-08
0.02,35,32,aleatory,grid-15,r1,0.0196124,2.10715,0.62238,0.0944773,0.209274,1.04186,2.02309,0.0210715,0.0404618,0.0480294,85.6206,91.3048,82.756,8.54878,0.0612886,1740.73,3.03015e+06,0.0037603,1.41398e-05
0.02,35,34,aleatory,grid-19,r1,0.0197935,2.02455,0.615546,0.057397,0.160702,1.04273,1.90886,0.0202455,0.0381771,0.0448564,81.5981,85.6059,79.4396,6.16628,0.0582163,867.43,752435,0.00325236,1.05778e-05
0.02,35,35,aleatory,grid-20,r1,0.0198037,1.92112,0.570324,0.01,0.123618,1.04259,1.91227,0.0192112,0.0382455,0.042552,79.7133,80.0747,79.4193,0.655418,0.0565821,17.848,318.55,0.000250193,6.25965e-08
0.02,35,35,aleatory,grid-30,r1,0.0197695,1.91496,0.613697,0.01,0.112626,1.04129,1.90343,0.0191496,0.0380685,0.0425421,79.6444,79.9597,79.3955,0.564184,0.0564843,17.4312,303.845,0.000260089,6.76461e-08
0.04,70,65,aleatory,grid-10,r1,0.0388972,2.044,0.61303,0.0876122,0.20566,1.08426,1.98794,0.02044,0.0397587,0.0450358,83.0379,87.7279,79.7433,7.9846,0.0598418,1033.32,1.06775e+06,0.00266082,7.07998e-06
0.04,70,66,aleatory,grid-15,r1,0.0393898,1.98986,0.546097,0.0542248,0.200364,1.0845,1.98703,0.0198986,0.0397407,0.0454626,82.9828,88.0355,79.6686,8.36688,0.0596815,1063.77,1.1316e+06,0.00259038,6.71006e-06
0.04,70,59,aleatory,grid-19,r1,0.0396706,2.21368,0.46952,0.0935742,0.314886,1.08435,2.3775,0.0221368,0.0475501,0.0571337,92.1357,109.643,86.3478,23.2947,0.0672384,2571.85,6.61442e+06,0.00483124,2.33409e-05
0.04,70,70,aleatory,grid-20,r1,0.0395736,1.91092,0.568878,0.01,0.118365,1.0851,1.91058,0.0191092,0.0382117,0.0425825,79.6792,80.0171,79.4091,0.607936,0.0565337,16.7132,279.331,0.000242152,5.86377e-08
0.04,70,70,aleatory,grid-30,r1,0.039555,1.91701,0.671221,0.01,0.11922,1.08579,1.90275,0.0191701,0.038055,0.042581,79.6605,79.9973,79.3907,0.606634,0.0565071,17.9817,323.343,0.000238932,5.70884e-08
